"Genome.Name","JGI.Analysis.Project.Type","Genome.Completeness"
"Prochlorococcus sp. scB245a_520E22 (unscreened)","Single Cell Analysis (unscreened)",NA
"Prochlorococcus sp. scB245a_520F22 (unscreened)","Single Cell Analysis (unscreened)",NA
"Prochlorococcus sp. scB245a_520K10 (unscreened)","Single Cell Analysis (unscreened)",NA
"Prochlorococcus sp. scB245a_520M11 (unscreened)","Single Cell Analysis (unscreened)",NA
"Prochlorococcus sp. scB245a_521A19 (unscreened)","Single Cell Analysis (unscreened)",NA
"Prochlorococcus sp. scB245a_521B10 (unscreened)","Single Cell Analysis (unscreened)",NA
"Prochlorococcus sp. scB245a_521C8 (unscreened)","Single Cell Analysis (unscreened)",NA
"Prochlorococcus sp. scB245a_521K15 (unscreened)","Single Cell Analysis (unscreened)",NA
"Prochlorococcus sp. scB245a_521M10 (unscreened)","Single Cell Analysis (unscreened)",NA
"Prochlorococcus sp. scB245a_521N3 (unscreened)","Single Cell Analysis (unscreened)",NA
"Prochlorococcus sp. scB245a_521N5 (unscreened)","Single Cell Analysis (unscreened)",NA
"Prochlorococcus sp. scB245a_521O20 (unscreened)","Single Cell Analysis (unscreened)",NA
"Prochlorococcus sp. scB245a_521O23 (unscreened)","Single Cell Analysis (unscreened)",NA
"Pseudoalteromonas sp. PRT007 (unscreened)","Single Cell Analysis (unscreened)",NA
"Pseudoalteromonas sp. PRT007 (unscreened)","Single Cell Analysis (unscreened)",NA
"Pseudomonas bacterium JGI 01_B18 (contamination screened)","Single Cell Analysis (screened)",NA
"Pseudomonas bacterium JGI 01_B18 (unscreened)","Single Cell Analysis (unscreened)",NA
"Pseudomonas sp. JdFR-91","Genome from Metagenome",NA
"Pseudomonas sp. JdFR-92","Genome from Metagenome",NA
"Pseudomonas sp. JdFR-93","Genome from Metagenome",NA
"Pseudospirillum bacterium JGI 01_E16 (contamination screened)","Single Cell Analysis (screened)",NA
"Psychromonas sp. PRT003 (unscreened)","Single Cell Analysis (unscreened)",NA
"Psychromonas sp. PRT003 (unscreened)","Single Cell Analysis (unscreened)",NA
"Puniceispirillum bacterium JGI 01_H13 (contamination screened)","Single Cell Analysis (screened)",NA
"Puniceispirillum bacterium JGI 01_H13 (unscreened)","Single Cell Analysis (unscreened)",NA
"Puniceispirillum bacterium JGI 01_H22 (contamination screened)","Single Cell Analysis (screened)",NA
"Puniceispirillum bacterium JGI 01_H22 (unscreened)","Single Cell Analysis (unscreened)",NA
"Rhodobacteraceae bacterium JGI 02_G21 (contamination screened)","Single Cell Analysis (screened)",NA
"Rhodobacteraceae bacterium JGI 02_J20 (contamination screened)","Single Cell Analysis (screened)",NA
"Rhodobacteraceae bacterium JGI 02_J20 (unscreened)","Single Cell Analysis (unscreened)",NA
"Rhodobacteraceae bacterium JGI 02_K22 (contamination screened)","Single Cell Analysis (screened)",NA
"Rhodobacteraceae bacterium JGI 02_K22 (unscreened)","Single Cell Analysis (unscreened)",NA
"Rhodobacteraceae bacterium REDSEA-S02_B3","Genome from Metagenome",NA
"Rhodobacteraceae bacterium REDSEA-S03_B4","Genome from Metagenome",NA
"Rhodobacteraceae bacterium REDSEA-S11_B6","Genome from Metagenome",NA
"Rhodobacteraceae bacterium REDSEA-S29_B10","Genome from Metagenome",NA
"Rhodobacteraceae bacterium REDSEA-S34_B6","Genome from Metagenome",NA
"Rhodobacterales sp. HTCC2255 SAG (unscreened) (SAG)","Single Cell Analysis (unscreened)",NA
"Rhodospirillaceae bacterium JGI 01_D15 (contamination screened)","Single Cell Analysis (screened)",NA
"Rhodospirillaceae bacterium JGI 01_D15 (unscreened)","Single Cell Analysis (unscreened)",NA
"Rhodospirillaceae bacterium JGI 01_E12 (contamination screened)","Single Cell Analysis (screened)",NA
"Rhodospirillaceae bacterium JGI 01_I15 (contamination screened)","Single Cell Analysis (screened)",NA
"Rhodospirillaceae bacterium JGI 01_I15 (unscreened)","Single Cell Analysis (unscreened)",NA
"Rhodospirillaceae bacterium JGI 01_I5 (unscreened)","Single Cell Analysis (unscreened)",NA
"Rhodospirillaceae bacterium JGI 01_K15 (contamination screened)","Single Cell Analysis (screened)",NA
"Rhodospirillaceae bacterium JGI 01_K15 (unscreened)","Single Cell Analysis (unscreened)",NA
"Rhodospirillaceae bacterium JGI 02_H19 (contamination screened)","Single Cell Analysis (screened)",NA
"Rhodospirillaceae bacterium JGI 02_H19 (unscreened)","Single Cell Analysis (unscreened)",NA
"Rhodospirillaceae bacterium JGI 02_K17 (contamination screened)","Single Cell Analysis (screened)",NA
"Rhodospirillaceae bacterium JGI 02_K17 (unscreened)","Single Cell Analysis (unscreened)",NA
"Rickettsia sp. PRT001 (unscreened)","Single Cell Analysis (unscreened)",NA
"Rickettsia sp. PRT001 (unscreened)","Single Cell Analysis (unscreened)",NA
"Roseobacter sp. SCGC AB-661-I11","Single Cell Analysis (screened)",NA
"Roseobacter sp. SCGC AB-661-L17","Single Cell Analysis (screened)",NA
"Roseobacter sp. SCGC AB-661-M21","Single Cell Analysis (screened)",NA
"Salinisphaeraceae bacterium JGI 01_B7 (contamination screened)","Single Cell Analysis (screened)",NA
"Salinisphaeraceae bacterium JGI 01_B7 (unscreened)","Single Cell Analysis (unscreened)",NA
"Salinisphaeraceae bacterium JGI 01_D22 (unscreened)","Single Cell Analysis (unscreened)",NA
"SAR116 cluster alphaproteobacterium REDSEA-S10_B10N8","Genome from Metagenome",NA
"SAR116 cluster alphaproteobacterium REDSEA-S2_B12","Genome from Metagenome",NA
"SAR202 cluster bacterium sp. SCGC AAA240-N13 (unscreened)","Single Cell Analysis (unscreened)",NA
"SAR324 cluster bacterium SCGC AAA001-C10 (unscreened) (sequencher)","Single Cell Analysis (unscreened)",NA
"SAR324 cluster bacterium SCGC AAA240-J09 (unscreened) (sequencher)","Single Cell Analysis (unscreened)",NA
"SAR324 cluster bacterium SCGC AB-629-J17 - v2 (unscreened)","Single Cell Analysis (unscreened)",NA
"SAR324 cluster bacterium SCGC AB-629-O05 - v2 (unscreened)","Single Cell Analysis (unscreened)",NA
"SAR324 cluster bacterium sp. SCGC AAA008-E19 (unscreened)","Single Cell Analysis (unscreened)",NA
"SAR324 cluster bacterium sp. SCGC AAA240-K04 (unscreened)","Single Cell Analysis (unscreened)",NA
"SAR324 cluster bacterium sp. SCGC AAA240-O02 (unscreened)","Single Cell Analysis (unscreened)",NA
"SAR324 cluster deltaproteobacterium REDSEA-S05_B4","Genome from Metagenome",NA
"SAR324 cluster deltaproteobacterium REDSEA-S06_B4","Genome from Metagenome",NA
"SAR324 cluster deltaproteobacterium REDSEA-S08_B7","Genome from Metagenome",NA
"SAR324 cluster deltaproteobacterium REDSEA-S09_B3","Genome from Metagenome",NA
"SAR324 cluster deltaproteobacterium REDSEA-S10_B5","Genome from Metagenome",NA
"SAR324 cluster deltaproteobacterium REDSEA-S11_B7","Genome from Metagenome",NA
"SAR324 cluster deltaproteobacterium REDSEA-S14_B10","Genome from Metagenome",NA
"SAR324 cluster deltaproteobacterium REDSEA-S15_B6","Genome from Metagenome",NA
"SAR324 cluster deltaproteobacterium REDSEA-S21_B5","Genome from Metagenome",NA
"SAR324 cluster deltaproteobacterium REDSEA-S26_B7","Genome from Metagenome",NA
"SAR324 cluster deltaproteobacterium REDSEA-S27_B3","Genome from Metagenome",NA
"SAR324 cluster deltaproteobacterium REDSEA-S33_B4","Genome from Metagenome",NA
"SAR324 cluster deltaproteobacterium REDSEA-S36_B13","Genome from Metagenome",NA
"SAR324 cluster deltaproteobacterium REDSEA-S39_B5","Genome from Metagenome",NA
"SAR324 cluster deltaproteobacterium REDSEA-S45_B3","Genome from Metagenome",NA
"SAR406 cluster bacterium SCGC AB-629-J13 - v2 (unscreened)","Single Cell Analysis (unscreened)",NA
"SAR86 cluster bacterium SAR86C (unscreened)","Single Cell Analysis (unscreened)",NA
"SAR86 cluster bacterium SAR86D (unscreened)","Single Cell Analysis (unscreened)",NA
"SAR86 cluster bacterium SAR86E (unscreened)","Single Cell Analysis (unscreened)",NA
"SAR86 cluster gammaproteobacterium REDSEA-S08_B3","Genome from Metagenome",NA
"SAR86 cluster gammaproteobacterium REDSEA-S09_B4","Genome from Metagenome",NA
"SAR86 cluster gammaproteobacterium REDSEA-S20_B12N4","Genome from Metagenome",NA
"SAR86 cluster gammaproteobacterium REDSEA-S21_B7","Genome from Metagenome",NA
"SAR86 cluster gammaproteobacterium REDSEA-S45_B6","Genome from Metagenome",NA
"Sphingopyxis sp. REDSEA-S22_B5","Genome from Metagenome",NA
"Sphingopyxis sp. REDSEA-S23_B6","Genome from Metagenome",NA
"Sphingopyxis sp. REDSEA-S24_B7","Genome from Metagenome",NA
"Sphingopyxis sp. REDSEA-S29_B3","Genome from Metagenome",NA
"Sphingopyxis sp. REDSEA-S34_B10","Genome from Metagenome",NA
"Sphingopyxis sp. REDSEA-S38_B16","Genome from Metagenome",NA
"Sphingopyxis sp. REDSEA-S40_B6","Genome from Metagenome",NA
"Sphingopyxis sp. REDSEA-S42_B3","Genome from Metagenome",NA
"Spirochaetes bacterium DG_61","Genome from Metagenome",NA
"Spirochaetes bacterium SCGC AAA257-G10 (unscreened)","Single Cell Analysis (unscreened)",NA
"Spirochaetes bacterium SCGC AAA257-P05 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-746_E21AB-902 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-746_O15AB-902 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-746_P05AB-902 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-747_F14AB-903 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-747_F18AB-903 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-747_M09AB-903 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-750A03AB-903 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-750A23AB-903 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-750C14AB-904 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-750C22AB-904 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-750G15AB-904 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-750G16AB-904 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-750I15AB-904 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-750K04AB-904 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-750K18AB-904 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-750K23AB-904 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-750M18AB-904 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-750M23AB-904 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-750N15AB-904 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-750P07AB-904 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-750P14AB-904 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-751_A17AB-904 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-751_B23AB-904 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-751_C09AB-904 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-751_E22AB-904 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-751_E23AB-905 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-751_G10AB-905 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-751_I17AB-905 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-751_J08AB-905 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-751_J11AB-905 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-751_L18AB-905 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-751_M07AB-905 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-751_N14AB-905 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-751_O11AB-905 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-751_O20AB-905 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-751_P07AB-905 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-751_P22AB-905 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-754_B15AB-905 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-754_C22AB-905 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-754_C22AB-908 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-754_I18AB-906 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-754_I19AB-906 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-754_J03AB-906 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-754_L23AB-906 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-754_O20AB-906 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-754_P07AB-906 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-755_A05D07 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-755_A07E07 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-755_C04A09 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-755_C07D09 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-755_C13G09 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-755_C14H09 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-755_D05D10 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-755_D23C11 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-755_E19E12 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-755_E20F12 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-755_E23A01 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-755_G23A03 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-755_L03D05 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-755_M02D06 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-755_M20C07 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-755_P16B10 (unscreened)","Single Cell Analysis (unscreened)",NA
"SUP05 cluster bacterium AB-755_P19D10 (unscreened)","Single Cell Analysis (unscreened)",NA
"Synechococcus bacterium JGI 01_K19 (contamination screened)","Single Cell Analysis (screened)",NA
"Synechococcus bacterium JGI 01_K19 (unscreened)","Single Cell Analysis (unscreened)",NA
"Synechococcus bacterium JGI 01_L10 (contamination screened)","Single Cell Analysis (screened)",NA
"Synechococcus bacterium JGI 01_L10 (unscreened)","Single Cell Analysis (unscreened)",NA
"Synechococcus bacterium JGI 01_L19 (contamination screened)","Single Cell Analysis (screened)",NA
"Synechococcus bacterium JGI 01_L19 (unscreened)","Single Cell Analysis (unscreened)",NA
"Synechococcus bacterium JGI 02_L19 (contamination screened)","Single Cell Analysis (screened)",NA
"Synechococcus bacterium JGI 02_L19 (unscreened)","Single Cell Analysis (unscreened)",NA
"Synechococcus sp. REDSEA-S01_B1","Genome from Metagenome",NA
"Synechococcus sp. REDSEA-S02_B4","Genome from Metagenome",NA
"Syntrophobacter sp. DG_60","Genome from Metagenome",NA
"Thermoanaerobacterales bacterium JdFR-68","Genome from Metagenome",NA
"Thermomicrobiales sp. SCGC AB-790-L07 (contamination screened)","Single Cell Analysis (screened)",NA
"Thioglobus (SUP05 cluster) sp. REDSEA-S03_B1","Genome from Metagenome",NA
"Thioglobus (SUP05 cluster) sp. REDSEA-S12_B1","Genome from Metagenome",NA
"Thioglobus (SUP05 cluster) sp. REDSEA-S14_B12","Genome from Metagenome",NA
"Thiohalorhabdales bacterium JGI 01_I18 (contamination screened)","Single Cell Analysis (screened)",NA
"Thiohalorhabdales bacterium JGI 01_I18 (unscreened)","Single Cell Analysis (unscreened)",NA
"Thiotrichales bacterium SG8_50","Genome from Metagenome",NA
"Thiovulum sp. ES (unscreened)","Single Cell Analysis (unscreened)",NA
"unclassified Actinobacteria Bin 19","Genome from Metagenome",NA
"unclassified Actinobacteria Bin 21","Genome from Metagenome",NA
"unclassified Actinobacteria Bin 21-1","Genome from Metagenome",NA
"unclassified Actinobacteria Bin 26","Genome from Metagenome",NA
"unclassified Actinobacteria Bin 29","Genome from Metagenome",NA
"unclassified Actinobacteria Bin 29-1","Genome from Metagenome",NA
"unclassified Actinobacteria Bin 52","Genome from Metagenome",NA
"unclassified Actinobacteria Bin 57","Genome from Metagenome",NA
"unclassified Actinobacteria Bin 57-1","Genome from Metagenome",NA
"unclassified Actinobacteria Bin 58","Genome from Metagenome",NA
"unclassified Actinobacteria Bin 59","Genome from Metagenome",NA
"unclassified Actinobacteria Bin 60","Genome from Metagenome",NA
"unclassified Bacteria Bin 13","Genome from Metagenome",NA
"unclassified Bacteria Bin 48","Genome from Metagenome",NA
"unclassified Bacteria Bin 50","Genome from Metagenome",NA
"unclassified Bacteria Bin 61-1","Genome from Metagenome",NA
"Unclassified bacterium JdFR-53","Genome from Metagenome",NA
"Unclassified bacterium JdFR-65","Genome from Metagenome",NA
"Unclassified bacterium JdFR-66","Genome from Metagenome",NA
"Unclassified bacterium JdFR-67","Genome from Metagenome",NA
"Unclassified bacterium JdFR-70","Genome from Metagenome",NA
"unclassified Bacteroidetes Bin 12","Genome from Metagenome",NA
"unclassified Bacteroidetes Bin 41","Genome from Metagenome",NA
"unclassified Bacteroidetes Bin 64","Genome from Metagenome",NA
"unclassified Candidatus Acetothermia bacterium from Orca Basin AC_391_D23","Single Cell Analysis (screened)",NA
"unclassified Chloroflexi Bin 43","Genome from Metagenome",NA
"unclassified Chloroflexi Bin 43-1","Genome from Metagenome",NA
"unclassified Chloroflexi Bin 43-2","Genome from Metagenome",NA
"unclassified Chromatiales Bin 61","Genome from Metagenome",NA
"unclassified Chromatiales Bin 61-2","Genome from Metagenome",NA
"unclassified Flavobacteriaceae Bin 10","Genome from Metagenome",NA
"unclassified Flavobacteriaceae Bin 37","Genome from Metagenome",NA
"unclassified Gammaproteobacteria Bin 33","Genome from Metagenome",NA
"Unclassified gammaproteobacterium REDSEA-S03_B5","Genome from Metagenome",NA
"Unclassified gammaproteobacterium REDSEA-S08_B8","Genome from Metagenome",NA
"Unclassified gammaproteobacterium REDSEA-S09_B13","Genome from Metagenome",NA
"Unclassified gammaproteobacterium REDSEA-S12_B4","Genome from Metagenome",NA
"Unclassified gammaproteobacterium REDSEA-S14_B7","Genome from Metagenome",NA
"Unclassified gammaproteobacterium REDSEA-S15_B12","Genome from Metagenome",NA
"Unclassified gammaproteobacterium REDSEA-S21_B8","Genome from Metagenome",NA
"Unclassified gammaproteobacterium REDSEA-S26_B10","Genome from Metagenome",NA
"Unclassified gammaproteobacterium REDSEA-S27_B14","Genome from Metagenome",NA
"Unclassified gammaproteobacterium REDSEA-S33_B15","Genome from Metagenome",NA
"Unclassified gammaproteobacterium REDSEA-S45_B9","Genome from Metagenome",NA
"unclassified Gemmatimonadaceae Bin 42","Genome from Metagenome",NA
"unclassified Ignavibacteria Bin 51-2","Genome from Metagenome",NA
"unclassified Ignavibacteria Bin 51_l","Genome from Metagenome",NA
"unclassified Marinimicrobia Bin 45","Genome from Metagenome",NA
"unclassified Marinimicrobia Bin 45-1","Genome from Metagenome",NA
"unclassified Marinimicrobia Bin 45-2","Genome from Metagenome",NA
"unclassified Marinimicrobia Bin 51","Genome from Metagenome",NA
"unclassified Marinimicrobia Bin 51-1","Genome from Metagenome",NA
"unclassified Nitrospina Bin 24","Genome from Metagenome",NA
"unclassified Nitrospina Bin 25","Genome from Metagenome",NA
"unclassified Nitrospina Bin 47","Genome from Metagenome",NA
"unclassified Nitrospina Bin 47-1","Genome from Metagenome",NA
"unclassified Nitrospina Bin 47-2","Genome from Metagenome",NA
"unclassified Parcubacteria Bin 40","Genome from Metagenome",NA
"unclassified Peregrinibacteria Bin 16","Genome from Metagenome",NA
"unclassified Peregrinibacteria Bin 39","Genome from Metagenome",NA
"unclassified Phycisphaerae Bin 31","Genome from Metagenome",NA
"unclassified Planctomycetaceae Bin 20","Genome from Metagenome",NA
"unclassified Planctomycetaceae Bin 22","Genome from Metagenome",NA
"unclassified Planctomycetaceae Bin 32","Genome from Metagenome",NA
"unclassified Planctomycetaceae Bin 56","Genome from Metagenome",NA
"unclassified Planctomycetaceae Bin 56-1","Genome from Metagenome",NA
"unclassified Planctomycetaceae Bin 56-2","Genome from Metagenome",NA
"unclassified Planctomycetaceae Bin 63","Genome from Metagenome",NA
"unclassified Planctomycetaceae Bin 63-1","Genome from Metagenome",NA
"unclassified Planctomycetaceae Bin 63-2","Genome from Metagenome",NA
"unclassified Proteobacteria Bin 36","Genome from Metagenome",NA
"unclassified Rhodobacteraceae Bin 23","Genome from Metagenome",NA
"unclassified Rhodobacteraceae Bin 53","Genome from Metagenome",NA
"unclassified Rhodobacteraceae Bin 54","Genome from Metagenome",NA
"unclassified Rhodobacteraceae Bin 55","Genome from Metagenome",NA
"unclassified Rhodospirillaceae Bin 35","Genome from Metagenome",NA
"unclassified Rhodothermaceae Bin 49","Genome from Metagenome",NA
"unclassified Synechococcus Bin 27","Genome from Metagenome",NA
"unclassified Synechococcus Bin 28","Genome from Metagenome",NA
"unclassified Synechococcus Bin 28-1","Genome from Metagenome",NA
"unclassified Verrucomicrobiales Bin 11","Genome from Metagenome",NA
"unclassified Verrucomicrobiales Bin 30","Genome from Metagenome",NA
"unclassified Verrucomicrobiales Bin 34","Genome from Metagenome",NA
"unclassified Verrucomicrobiales Bin 46","Genome from Metagenome",NA
"unclassified Verrucomicrobiales Bin 65","Genome from Metagenome",NA
"Unclassified Woeseiaceae bin JSS_woes1 (Woeseiaceae metagenomic bin from tidal sand)","Genome from Metagenome",NA
"Unclassified Woeseiaceae bin20_1J","Genome from Metagenome",NA
"uncultured Dehalococcoidia FW22 190_B1 (unscreened)","Single Cell Analysis (unscreened)",NA
"uncultured Dehalococcoidia GIF3 190_D3 (unscreened)","Single Cell Analysis (unscreened)",NA
"uncultured Dehalococcoidia GIF3 191_B3c (unscreened)","Single Cell Analysis (unscreened)",NA
"uncultured Dehalococcoidia GIF9 190_F3 (unscreened)","Single Cell Analysis (unscreened)",NA
"uncultured Dehalococcoidia GIF9 190_H1 (unscreened)","Single Cell Analysis (unscreened)",NA
"uncultured Dehalococcoidia Sh765B 190_H5 (unscreened)","Single Cell Analysis (unscreened)",NA
"uncultured Desulfarculaceae 191_B12 (unscreened)","Single Cell Analysis (unscreened)",NA
"uncultured Woeseiaceae SAG 1868_B","Single Cell Analysis (screened)",NA
"Verrucomicrobia bacterium SCGC AAA164-A08 (unscreened)","Single Cell Analysis (unscreened)",NA
"Verrucomicrobia bacterium SCGC AAA164-A21 (unscreened) (genbank_version)","Single Cell Analysis (unscreened)",NA
"Verrucomicrobia bacterium SCGC AAA164-B23 (unscreened)","Single Cell Analysis (unscreened)",NA
"Verrucomicrobia bacterium SCGC AAA164-E04 (unscreened)","Single Cell Analysis (unscreened)",NA
"Verrucomicrobia bacterium SCGC AAA164-I21 (unscreened)","Single Cell Analysis (unscreened)",NA
"Verrucomicrobia bacterium SCGC AAA164-M04 (unscreened)","Single Cell Analysis (unscreened)",NA
"Verrucomicrobia bacterium SCGC AAA164-N20 (unscreened)","Single Cell Analysis (unscreened)",NA
"Verrucomicrobia bacterium SCGC AAA164-O14 (unscreened) (genbank_version)","Single Cell Analysis (unscreened)",NA
"Verrucomicrobia bacterium SCGC AAA164-P11 (unscreened)","Single Cell Analysis (unscreened)",NA
"Verrucomicrobia bacterium SCGC AAA168-E21","Single Cell Analysis (unscreened)",NA
"Verrucomicrobia bacterium SCGC AAA168-E21 (unscreened) (genbank_version)","Single Cell Analysis (unscreened)",NA
"Verrucomicrobia bacterium SCGC AAA168-F10","Single Cell Analysis (unscreened)",NA
"Verrucomicrobia bacterium SCGC AAA168-F10 (unscreened) (genbank_version)","Single Cell Analysis (unscreened)",NA
"Verrucomicrobia bacterium SCGC AAA300-K03 (unscreened)","Single Cell Analysis (unscreened)",NA
"Verrucomicrobia bacterium SCGC AAA300-N18 (unscreened)","Single Cell Analysis (unscreened)",NA
"Verrucomicrobia bacterium SCGC AB-629-E09 - v2 (unscreened)","Single Cell Analysis (unscreened)",NA
"Xanthomonadales bacterium JGI 01_C9 (contamination screened)","Single Cell Analysis (screened)",NA
"Xanthomonadales bacterium JGI 01_C9 (unscreened)","Single Cell Analysis (unscreened)",NA
"Xanthomonadales bacterium JGI 01_F21 (contamination screened)","Single Cell Analysis (screened)",NA
"Xanthomonadales bacterium JGI 01_F21 (unscreened)","Single Cell Analysis (unscreened)",NA
"zeta proteobacterium SCGC AB-133_D10 (unscreened)","Single Cell Analysis (unscreened)",NA
"zeta proteobacterium SCGC AB-133_M17 (unscreened)","Single Cell Analysis (unscreened)",NA
"zeta proteobacterium SCGC AB-137_C09B (unscreened)","Single Cell Analysis (unscreened)",NA
"zeta proteobacterium SCGC AB-137_G16 (unscreened)","Single Cell Analysis (unscreened)",NA
"zeta proteobacterium SCGC AB-137_M18 (unscreened)","Single Cell Analysis (unscreened)",NA
"zeta proteobacterium SCGC AB-602_F03 (unscreened)","Single Cell Analysis (unscreened)",NA
"zeta proteobacterium SCGC AB-602_L11 (unscreened)","Single Cell Analysis (unscreened)",NA
"zeta proteobacterium SCGC AB-604_O11 (unscreened)","Single Cell Analysis (unscreened)",NA
"zeta proteobacterium SCGC AB-604_P22 (unscreened)","Single Cell Analysis (unscreened)",NA
